state,district,year,Season,crop,area,production
Telangana ,ADILABAD,1997,Kharif     ,Arhar/Tur,32200.00,1100.00
Telangana ,ADILABAD,1997,Kharif     ,Castor seed,2600,700
Telangana ,ADILABAD,1997,Kharif     ,Cotton(lint),144900,66500
Telangana ,ADILABAD,1997,Kharif     ,Dry chillies,5500,3100
Telangana ,ADILABAD,1997,Kharif     ,Jowar,58200,31500
Telangana ,ADILABAD,1997,Kharif     ,Maize,23900,63000
Telangana ,ADILABAD,1997,Kharif     ,Moong(Green Gram),20600,3600
Telangana ,ADILABAD,1997,Kharif     ,Other Kharif pulses,1500,200
Telangana ,ADILABAD,1997,Kharif     ,Rice,30600,29100
Telangana ,ADILABAD,1997,Kharif     ,Sesamum,21700,1000
Telangana ,ADILABAD,1997,Kharif     ,Sugarcane,200,15400
Telangana ,ADILABAD,1997,Kharif     ,Sunflower,5200,2300
Telangana ,ADILABAD,1997,Kharif     ,Urad,19500,6600
Telangana ,ADILABAD,1997,Rabi       ,Dry chillies,700,1600
Telangana ,ADILABAD,1997,Rabi       ,Gram,4000,500
Telangana ,ADILABAD,1997,Rabi       ,Groundnut,3700,3300
Telangana ,ADILABAD,1997,Rabi       ,Horse-gram,3200,300
Telangana ,ADILABAD,1997,Rabi       ,Jowar,96100,33500
Telangana ,ADILABAD,1997,Rabi       ,Maize,4600,13700
Telangana ,ADILABAD,1997,Rabi       ,Moong(Green Gram),4800,600
Telangana ,ADILABAD,1997,Rabi       ,Other  Rabi pulses,2300,300
Telangana ,ADILABAD,1997,Rabi       ,Rice,5200,12400
Telangana ,ADILABAD,1997,Rabi       ,Sesamum,3900,400
Telangana ,ADILABAD,1997,Rabi       ,Sunflower,1600,600
Telangana ,ADILABAD,1997,Rabi       ,Urad,600,100
Telangana ,ADILABAD,1997,Rabi       ,Wheat,3600,2000
Telangana ,ADILABAD,1998,Kharif     ,Arhar/Tur,35900,12700
Telangana ,ADILABAD,1998,Kharif     ,Castor seed,2100,400
Telangana ,ADILABAD,1998,Kharif     ,Cotton(lint),162100,154400
Telangana ,ADILABAD,1998,Kharif     ,Dry chillies,6000,3500
Telangana ,ADILABAD,1998,Kharif     ,Groundnut,100,100
Telangana ,ADILABAD,1998,Kharif     ,Jowar,49800,60400
Telangana ,ADILABAD,1998,Kharif     ,Maize,24900,59500
Telangana ,ADILABAD,1998,Kharif     ,Moong(Green Gram),18200,5300
Telangana ,ADILABAD,1998,Kharif     ,Other Kharif pulses,1200,100
Telangana ,ADILABAD,1998,Kharif     ,Rice,66400,152300
Telangana ,ADILABAD,1998,Kharif     ,Sesamum,12400,2400
Telangana ,ADILABAD,1998,Kharif     ,Sunflower,3800,2800
Telangana ,ADILABAD,1998,Kharif     ,Urad,16900,6100
Telangana ,ADILABAD,1998,Rabi       ,Arhar/Tur,100,100
Telangana ,ADILABAD,1998,Rabi       ,Bajra,300,100
Telangana ,ADILABAD,1998,Rabi       ,Dry chillies,700,1600
Telangana ,ADILABAD,1998,Rabi       ,Gram,2900,400
Telangana ,ADILABAD,1998,Rabi       ,Groundnut,5300,6900
Telangana ,ADILABAD,1998,Rabi       ,Horse-gram,3200,600
Telangana ,ADILABAD,1998,Rabi       ,Jowar,93500,40900
Telangana ,ADILABAD,1998,Rabi       ,Maize,4400,18400
Telangana ,ADILABAD,1998,Rabi       ,Moong(Green Gram),3900,500
Telangana ,ADILABAD,1998,Rabi       ,Other  Rabi pulses,2000,300
Telangana ,ADILABAD,1998,Rabi       ,Rice,12200,33500
Telangana ,ADILABAD,1998,Rabi       ,Sesamum,3100,900
Telangana ,ADILABAD,1998,Rabi       ,Sunflower,700,300
Telangana ,ADILABAD,1998,Rabi       ,Urad,700,300
Telangana ,ADILABAD,1998,Rabi       ,Wheat,2800,1600
Telangana ,ADILABAD,1998,Whole Year ,Sugarcane,300,28800
Telangana ,ADILABAD,1998,Whole Year ,Tobacco,200,400
Telangana ,ADILABAD,1999,Kharif     ,Castor seed,1787,399
Telangana ,ADILABAD,1999,Kharif     ,Cotton(lint),164289,206811
Telangana ,ADILABAD,1999,Kharif     ,Groundnut,179,87
Telangana ,ADILABAD,1999,Kharif     ,Jowar,50587,62171
Telangana ,ADILABAD,1999,Kharif     ,Maize,25763,65721
Telangana ,ADILABAD,1999,Kharif     ,Masoor,38381,11169
Telangana ,ADILABAD,1999,Kharif     ,Moong(Green Gram),19901,6110
Telangana ,ADILABAD,1999,Kharif     ,Rice,66388,162451
Telangana ,ADILABAD,1999,Kharif     ,Sesamum,2695,261
Telangana ,ADILABAD,1999,Kharif     ,Urad,18323,9546
Telangana ,ADILABAD,1999,Rabi       ,Bajra,644,377
Telangana ,ADILABAD,1999,Rabi       ,Gram,3041,2007
Telangana ,ADILABAD,1999,Rabi       ,Groundnut,4337,5048
Telangana ,ADILABAD,1999,Rabi       ,Horse-gram,2298,894
Telangana ,ADILABAD,1999,Rabi       ,Jowar,82630,35283
Telangana ,ADILABAD,1999,Rabi       ,Linseed,3890,210
Telangana ,ADILABAD,1999,Rabi       ,Maize,4761,18306
Telangana ,ADILABAD,1999,Rabi       ,Masoor,296,86
Telangana ,ADILABAD,1999,Rabi       ,Moong(Green Gram),3396,1138
Telangana ,ADILABAD,1999,Rabi       ,Rapeseed &Mustard,38,8
Telangana ,ADILABAD,1999,Rabi       ,Rice,10980,26616
Telangana ,ADILABAD,1999,Rabi       ,Safflower,458,233
Telangana ,ADILABAD,1999,Rabi       ,Sesamum,13168,1923
Telangana ,ADILABAD,1999,Rabi       ,Urad,697,233
Telangana ,ADILABAD,1999,Rabi       ,Wheat,3964,2656
Telangana ,ADILABAD,1999,Whole Year ,Dry chillies,8980,7549
Telangana ,ADILABAD,1999,Whole Year ,Onion,679,13020
Telangana ,ADILABAD,1999,Whole Year ,Sugarcane,316,20576
Telangana ,ADILABAD,2000,Kharif     ,Arhar/Tur,38996,9437
Telangana ,ADILABAD,2000,Kharif     ,Castor seed,1570,551
Telangana ,ADILABAD,2000,Kharif     ,Cotton(lint),169332,104587
Telangana ,ADILABAD,2000,Kharif     ,Dry chillies,9622,7890
Telangana ,ADILABAD,2000,Kharif     ,Groundnut,224,157
Telangana ,ADILABAD,2000,Kharif     ,Jowar,47373,75749
Telangana ,ADILABAD,2000,Kharif     ,Maize,25795,73928
Telangana ,ADILABAD,2000,Kharif     ,Moong(Green Gram),19096,6302
Telangana ,ADILABAD,2000,Kharif     ,Onion,11,123
Telangana ,ADILABAD,2000,Kharif     ,Other Kharif pulses,1271,174
Telangana ,ADILABAD,2000,Kharif     ,other misc. pulses,1017,135
Telangana ,ADILABAD,2000,Kharif     ,Rice,70645,146235
Telangana ,ADILABAD,2000,Kharif     ,Samai,10,5
Telangana ,ADILABAD,2000,Kharif     ,Sesamum,2396,206
Telangana ,ADILABAD,2000,Kharif     ,Small millets,23,15
Telangana ,ADILABAD,2000,Kharif     ,Sunflower,933,329
Telangana ,ADILABAD,2000,Kharif     ,Urad,19031,10886
Telangana ,ADILABAD,2000,Kharif     ,Varagu,13,10
Telangana ,ADILABAD,2000,Rabi       ,Arhar/Tur,767,186
Telangana ,ADILABAD,2000,Rabi       ,Bajra,518,311
Telangana ,ADILABAD,2000,Rabi       ,Dry chillies,484,1119
Telangana ,ADILABAD,2000,Rabi       ,Gram,2687,1349
Telangana ,ADILABAD,2000,Rabi       ,Groundnut,3734,6015
Telangana ,ADILABAD,2000,Rabi       ,Horse-gram,2012,394
Telangana ,ADILABAD,2000,Rabi       ,Jowar,73626,43734
Telangana ,ADILABAD,2000,Rabi       ,Linseed,4133,752
Telangana ,ADILABAD,2000,Rabi       ,Maize,4703,21601
Telangana ,ADILABAD,2000,Rabi       ,Moong(Green Gram),2847,954
Telangana ,ADILABAD,2000,Rabi       ,Onion,577,14507
Telangana ,ADILABAD,2000,Rabi       ,Other  Rabi pulses,1617,119
Telangana ,ADILABAD,2000,Rabi       ,other misc. pulses,1577,101
Telangana ,ADILABAD,2000,Rabi       ,Rice,6828,21023
Telangana ,ADILABAD,2000,Rabi       ,Safflower,348,152
Telangana ,ADILABAD,2000,Rabi       ,Sesamum,11710,2272
Telangana ,ADILABAD,2000,Rabi       ,Urad,1006,532
Telangana ,ADILABAD,2000,Rabi       ,Wheat,3681,1848
Telangana ,ADILABAD,2000,Whole Year ,Banana,159,51
Telangana ,ADILABAD,2000,Whole Year ,Cashewnut,24,4
Telangana ,ADILABAD,2000,Whole Year ,Coriander,3181,830
Telangana ,ADILABAD,2000,Whole Year ,Potato,18,68
Telangana ,ADILABAD,2000,Whole Year ,Sugarcane,149,11611
Telangana ,ADILABAD,2000,Whole Year ,Sweet potato,6,81
Telangana ,ADILABAD,2000,Whole Year ,Tobacco,134,72
Telangana ,ADILABAD,2000,Whole Year ,Turmeric,7125,26933
Telangana ,ADILABAD,2001,Kharif     ,Arhar/Tur,38438,18027
Telangana ,ADILABAD,2001,Kharif     ,Castor seed,1419,417
Telangana ,ADILABAD,2001,Kharif     ,Cotton(lint),175552,270557
Telangana ,ADILABAD,2001,Kharif     ,Dry chillies,5927,3497
Telangana ,ADILABAD,2001,Kharif     ,Gram,1,1
Telangana ,ADILABAD,2001,Kharif     ,Groundnut,70,50
Telangana ,ADILABAD,2001,Kharif     ,Horse-gram,82,30
Telangana ,ADILABAD,2001,Kharif     ,Jowar,37111,62161
Telangana ,ADILABAD,2001,Kharif     ,Maize,22470,85498
Telangana ,ADILABAD,2001,Kharif     ,Moong(Green Gram),18262,3378
Telangana ,ADILABAD,2001,Kharif     ,Other Kharif pulses,1814,184
Telangana ,ADILABAD,2001,Kharif     ,Rice,67358,150343
Telangana ,ADILABAD,2001,Kharif     ,Samai,4,1
Telangana ,ADILABAD,2001,Kharif     ,Sesamum,2126,272
Telangana ,ADILABAD,2001,Kharif     ,Small millets,4,1
Telangana ,ADILABAD,2001,Kharif     ,Sunflower,1221,629
Telangana ,ADILABAD,2001,Kharif     ,Urad,19201,10657
Telangana ,ADILABAD,2001,Rabi       ,Arhar/Tur,652,306
Telangana ,ADILABAD,2001,Rabi       ,Bajra,628,293
Telangana ,ADILABAD,2001,Rabi       ,Dry chillies,601,1656
Telangana ,ADILABAD,2001,Rabi       ,Gram,3277,3621
Telangana ,ADILABAD,2001,Rabi       ,Groundnut,3626,5011
Telangana ,ADILABAD,2001,Rabi       ,Horse-gram,3088,1019
Telangana ,ADILABAD,2001,Rabi       ,Jowar,74174,63196
Telangana ,ADILABAD,2001,Rabi       ,Linseed,4638,1248
Telangana ,ADILABAD,2001,Rabi       ,Maize,5243,23798
Telangana ,ADILABAD,2001,Rabi       ,Moong(Green Gram),3591,1095
Telangana ,ADILABAD,2001,Rabi       ,Onion,495,12933
